name,time,max,service_name
max_duration_60s,1588088280000000000,348895000,booking.default
max_duration_60s,1588088340000000000,23217000,auth.default
max_duration_60s,1588088340000000000,495402000,booking.default
max_duration_60s,1588088340000000000,28780000,customer.default
max_duration_60s,1588088340000000000,47601000,flight.default
max_duration_60s,1588088340000000000,880416000,istio-ingressgateway
max_duration_60s,1588088400000000000,235134000,flight.default
max_duration_60s,1588088400000000000,1006083000,istio-ingressgateway
max_duration_60s,1588088400000000000,497956000,booking.default
max_duration_60s,1588088400000000000,138315000,istio-mixer
max_duration_60s,1588088400000000000,33028000,auth.default
max_duration_60s,1588088400000000000,31423000,customer.default
max_duration_60s,1588088460000000000,604702000,booking.default
max_duration_60s,1588088460000000000,24614000,customer.default
max_duration_60s,1588088460000000000,57810000,flight.default
max_duration_60s,1588088460000000000,706004000,istio-ingressgateway
max_duration_60s,1588088460000000000,7496000,auth.default
max_duration_60s,1588088520000000000,882771000,istio-ingressgateway
max_duration_60s,1588088520000000000,41433000,auth.default
max_duration_60s,1588088520000000000,26212000,customer.default
max_duration_60s,1588088520000000000,1549000,istio-mixer
max_duration_60s,1588088520000000000,559720000,booking.default
max_duration_60s,1588088520000000000,95389000,flight.default
max_duration_60s,1588088580000000000,617796000,booking.default
max_duration_60s,1588088580000000000,57845000,flight.default
max_duration_60s,1588088580000000000,19975000,customer.default
max_duration_60s,1588088580000000000,784780000,istio-ingressgateway
max_duration_60s,1588088580000000000,29875000,auth.default
max_duration_60s,1588088580000000000,132693000,istio-mixer
max_duration_60s,1588088640000000000,63982000,auth.default
max_duration_60s,1588088640000000000,641000,istio-mixer
max_duration_60s,1588088640000000000,31648000,customer.default
max_duration_60s,1588088640000000000,558941000,booking.default
max_duration_60s,1588088640000000000,78081000,flight.default
max_duration_60s,1588088640000000000,702430000,istio-ingressgateway
max_duration_60s,1588088700000000000,1171032000,flight.default
max_duration_60s,1588088700000000000,14394073000,istio-ingressgateway
max_duration_60s,1588088700000000000,70041000,customer.default
max_duration_60s,1588088700000000000,907479000,auth.default
max_duration_60s,1588088700000000000,13028537000,booking.default
max_duration_60s,1588088760000000000,16898000,auth.default
max_duration_60s,1588088760000000000,2280785000,booking.default
max_duration_60s,1588088760000000000,4150621000,istio-ingressgateway
max_duration_60s,1588088760000000000,152222000,flight.default
max_duration_60s,1588088760000000000,11348000,istio-mixer
max_duration_60s,1588088760000000000,35218000,customer.default
max_duration_60s,1588088820000000000,663777000,istio-mixer
max_duration_60s,1588088820000000000,80461000,customer.default
max_duration_60s,1588088820000000000,2769738000,istio-ingressgateway
max_duration_60s,1588088820000000000,54482000,auth.default
max_duration_60s,1588088820000000000,639942000,booking.default
max_duration_60s,1588088820000000000,78533000,flight.default
max_duration_60s,1588088880000000000,1181065000,booking.default
